observation_date,Ft (3-month Tbill),M1t (Monetary Supply),CPIt (Consumer Price),SURt (Federal Government)
1959-04-01,2.99,139.3,0.133192390622265,
1959-07-01,3.50,140.2,0.133880288886698,-3.0
1959-10-01,4.22,142.0,0.134690480175918,-4.5
1960-01-01,3.95,140.5,0.134812773200707,3.8
1960-04-01,3.03,138.4,0.135622964489927,4.4
1960-07-01,2.35,139.6,0.135699397630420,-0.8
1960-10-01,2.31,142.7,0.136570735432034,-3.9
1961-01-01,2.35,142.2,0.136845894737808,1.4
1961-04-01,2.31,141.4,0.136800034853512,1.0
1961-07-01,2.31,142.0,0.137335066836960,-3.3
1961-10-01,2.46,146.6,0.137533793002240,-5.9
1962-01-01,2.73,146.4,0.138068824985688,0.3
1962-04-01,2.71,145.3,0.138588570341037,3.1
1962-07-01,2.84,145.0,0.138986022671598,-2.5
1962-10-01,2.81,149.2,0.139322328489765,-6.6
1963-01-01,2.91,149.5,0.139765640704622,1.7
1963-04-01,2.94,148.9,0.140025513382296,3.4
1963-07-01,3.29,150.1,0.140881564555813,-3.6
1963-10-01,3.49,155.2,0.141263730258275,-6.1
1964-01-01,3.53,155.0,0.141844622126018,1.6
1964-04-01,3.47,153.9,0.142073921547496,3.3
1964-07-01,3.49,156.3,0.142394940737564,-3.9
1964-10-01,3.67,162.1,0.143052265745800,-6.3
1965-01-01,3.89,161.8,0.143495577960657,2.4
1965-04-01,3.88,160.6,0.144412775646567,5.1
1965-07-01,3.86,162.3,0.144840801233325,-3.9
1965-10-01,4.16,169.1,0.145605132638250,-8.1
1966-01-01,4.61,170.4,0.146965642539017,-1.3
1966-04-01,4.59,170.1,0.148295579183587,10.0
1966-07-01,5.01,169.5,0.149579655943861,-6.7
1966-10-01,5.21,173.8,0.150802586191742,-7.7
1967-01-01,4.51,173.7,0.151184751894204,1.4
1967-04-01,3.65,174.2,0.152101949580114,11.5
1967-07-01,4.29,178.1,0.153630612389965,-9.2
1967-10-01,4.75,184.7,0.155312141480800,-10.9
1968-01-01,5.04,185.2,0.156840804290651,-8.7
1968-04-01,5.52,186.7,0.158369467100501,2.9
1968-07-01,5.20,190.4,0.160509595034292,-3.2
1968-10-01,5.56,198.2,0.162496856687097,-7.1
1969-01-01,6.10,199.6,0.164484118339903,-2.0
1969-04-01,6.19,199.7,0.167082845116648,15.5
1969-07-01,7.01,200.6,0.169375839331424,-2.5
1969-10-01,7.32,205.7,0.171974566108170,-5.6
1970-01-01,7.27,205.4,0.174726159165900,-3.5
1970-04-01,6.67,206.4,0.177172019661661,8.7
1970-07-01,6.36,209.0,0.179006415033482,-7.8
1970-10-01,5.40,215.6,0.181605141810227,-8.9
1971-01-01,3.91,217.0,0.183133804620078,-8.2
1971-04-01,4.18,221.0,0.184815333710913,1.8
1971-07-01,5.03,224.7,0.186649729082734,-7.8
1971-10-01,4.25,230.0,0.188025525611599,-10.6
1972-01-01,3.45,231.9,0.189554188421449,-10.5
1972-04-01,3.77,235.1,0.190777118669330,5.6
1972-07-01,4.22,239.9,0.192305781479180,-2.0
1972-10-01,4.86,249.3,0.194293043131985,-10.5
1973-01-01,5.69,251.2,0.197350368751686,-9.5
1973-04-01,6.60,253.7,0.201477758338282,7.7
1973-07-01,8.34,256.7,0.205452281643893,-1.1
1973-10-01,7.50,263.7,0.210649735197385,-5.0
1974-01-01,7.62,264.4,0.216917252717771,-7.1
1974-04-01,8.16,266.7,0.222726171395203,9.7
1974-07-01,8.23,269.3,0.228993688915590,-1.6
1974-10-01,7.35,276.4,0.236025537840901,-12.0
1975-01-01,5.82,273.8,0.241070125113408,-18.0
1975-04-01,5.39,278.1,0.243974584452123,-12.0
1975-07-01,6.31,283.8,0.248866305443645,-18.5
1975-10-01,5.68,290.0,0.253452293873196,-26.6
1976-01-01,4.94,288.7,0.256356753211912,-22.7
1976-04-01,5.14,294.3,0.258649747426687,2.2
1976-07-01,5.17,298.0,0.262777137013283,-12.7
1976-10-01,4.69,307.7,0.266598794037909,-22.8
1977-01-01,4.63,308.9,0.271490515029430,-18.7
1977-04-01,4.82,316.0,0.276229369739967,8.6
1977-07-01,5.46,322.0,0.280051026764593,-12.2
1977-10-01,6.11,333.1,0.284178416351189,-28.8
1978-01-01,6.39,332.7,0.289070137342710,-25.8
1978-04-01,6.49,342.3,0.295643387425067,14.0
1978-07-01,7.30,349.9,0.302522370069394,-8.1
1978-10-01,8.57,360.4,0.309554218994705,-23.8
1979-01-01,9.39,357.0,0.317350399324942,-20.4
1979-04-01,9.38,368.5,0.327439573869955,21.4
1979-07-01,9.65,378.6,0.337987347257923,-4.5
1979-10-01,11.84,386.7,0.348687986926876,-24.5
1980-01-01,13.28,384.5,0.362445952215529,-26.9
1980-04-01,9.77,383.9,0.374675254694332,8.1
1980-07-01,9.04,399.2,0.381707103619644,-15.7
1980-10-01,13.48,415.3,0.392407743288597,-33.6
1981-01-01,14.42,411.4,0.403261249238535,-32.1
1981-04-01,14.83,424.1,0.411668894692712,16.2
1981-07-01,15.05,426.9,0.423133865766590,-8.6
1981-10-01,11.90,437.3,0.430012848410917,-48.2
1982-01-01,12.69,438.8,0.433834505435543,-23.7
1982-04-01,12.45,446.1,0.440102022955929,-2.5
1982-07-01,9.61,451.8,0.447745337005181,-36.2
1982-10-01,7.88,475.3,0.449121133534047,-68.3
1983-01-01,8.08,479.9,0.449426866096017,-61.0
1983-04-01,8.40,498.7,0.454624319649508,-29.2
1983-07-01,9.13,510.0,0.459057441798074,-37.0
1983-10-01,8.80,524.1,0.463643430227625,-63.3
1984-01-01,9.17,523.4,0.470216680309982,-55.3
1984-04-01,9.80,537.3,0.474649802458548,-25.6
1984-07-01,10.32,541.6,0.478777192045144,-34.0
1984-10-01,8.84,552.2,0.482904581631740,-73.3
1985-01-01,8.16,557.1,0.487337703780307,-54.8
1985-04-01,7.48,576.5,0.491770825928873,-27.8
1985-07-01,7.10,596.3,0.494828151548574,-47.3
1985-10-01,7.17,617.8,0.499872738821080,-76.0
1986-01-01,6.91,621.2,0.502471465597826,-60.4
1986-04-01,6.14,651.8,0.500025605102065,-30.8
1986-07-01,5.54,678.8,0.503082930721766,-53.9
1986-10-01,5.34,713.6,0.506598855184422,-64.4
1987-01-01,5.54,725.8,0.512713506423823,-57.6
1987-04-01,5.66,745.0,0.518522425101255,2.1
1987-07-01,6.00,745.0,0.524025611216716,-28.6
1987-10-01,5.92,758.0,0.528917332208237,-80.4
1988-01-01,5.73,753.4,0.533044721794834,-37.6
1988-04-01,6.16,773.3,0.539159373034235,0.7
1988-07-01,6.99,782.1,0.545732623116592,-36.9
1988-10-01,7.73,790.3,0.551694408075008,-67.4
1989-01-01,8.55,779.4,0.557961925595395,-61.1
1989-04-01,8.41,776.4,0.566981036173512,22.7
1989-07-01,7.84,778.3,0.571414158322078,-47.5
1989-10-01,7.65,794.7,0.577223076999510,-69.8
1990-01-01,7.76,794.0,0.587159385263538,-80.9
1990-04-01,7.75,806.9,0.592968303940969,-12.5
1990-07-01,7.48,813.6,0.603210344766967,-57.2
1990-10-01,7.00,827.8,0.613452385592964,-83.2
1991-01-01,6.04,829.2,0.618038374022516,-65.0
1991-04-01,5.56,849.6,0.621707164766156,-26.1
1991-07-01,5.39,863.2,0.626446019476693,-95.1
1991-10-01,4.57,894.0,0.631643473030184,-83.6
1992-01-01,3.89,920.4,0.635923728897765,-114.1
1992-04-01,3.69,949.2,0.640815449889286,-30.0
1992-07-01,3.12,971.6,0.645707170880808,-62.6
1992-10-01,3.05,1022.6,0.651363223277254,-120.3
1993-01-01,2.98,1030.7,0.656102077987790,-63.1
1993-04-01,2.96,1062.0,0.660840932698327,-17.6
1993-07-01,3.01,1090.0,0.663898258318028,-53.6
1993-10-01,3.05,1131.3,0.669401444433489,-90.8
1994-01-01,3.24,1132.2,0.672764502615160,-61.5
1994-04-01,3.95,1142.0,0.676586159639786,1.0
1994-07-01,4.46,1147.1,0.682853677160172,-51.9
1994-10-01,5.28,1159.5,0.686828200465784,-75.4
1995-01-01,5.73,1144.7,0.691872787738290,-70.6
1995-04-01,5.59,1145.1,0.697528840134736,23.9
1995-07-01,5.37,1141.1,0.701044764597392,-41.9
1995-10-01,5.26,1141.4,0.704866421622018,-55.7
1996-01-01,4.93,1118.0,0.711133939142405,-72.9
1996-04-01,5.02,1117.6,0.717248590381806,53.4
1996-07-01,5.10,1100.0,0.721375979968402,-32.2
1996-10-01,4.97,1090.5,0.727643497488789,-58.8
1997-01-01,5.06,1074.6,0.732076619637355,-52.3
1997-04-01,5.05,1064.7,0.733758148728191,100.5
1997-07-01,5.05,1064.8,0.737426939471832,-11.3
1997-10-01,5.08,1076.4,0.741401462777443,-39.7
1998-01-01,5.06,1074.1,0.742930125587293,-29.9
1998-04-01,4.98,1077.9,0.745375986083054,137.1
1998-07-01,4.85,1071.4,0.749197643107680,1.7
1998-10-01,4.25,1098.9,0.752713567570336,-54.8
1999-01-01,4.41,1095.5,0.755465160628066,5.4
1999-04-01,4.44,1102.7,0.761121213024513,144.7
1999-07-01,4.65,1092.1,0.766777265420959,30.4
1999-10-01,5.03,1118.8,0.772433317817406,-20.4
2000-01-01,5.53,1111.1,0.780076631866658,-14.9
2000-04-01,5.71,1109.3,0.786191283106059,211.2
2000-07-01,6.02,1095.4,0.793375998312356,60.3
2000-10-01,6.02,1098.7,0.799032050708802,-3.0
2001-01-01,4.82,1100.5,0.806675364758054,-21.9
2001-04-01,3.66,1122.6,0.812331417154501,194.3
2001-07-01,3.21,1159.3,0.814624411369277,-41.1
2001-10-01,1.92,1178.9,0.814012946245336,-35.3
2002-01-01,1.72,1189.0,0.816611673022082,-96.4
2002-04-01,1.72,1192.5,0.823032056823454,15.7
